FL_NUMBER,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,FLIGHT_STATUS,CRS_DEP_TIME_MINUTES,CRS_DEP_TIME_MINUTES_SIN,CRS_DEP_TIME_MINUTES_COS,CRS_ARR_TIME_MINUTES,CRS_ARR_TIME_MINUTES_SIN,CRS_ARR_TIME_MINUTES_COS,ARR_TIME_MINUTES,DAY_OF_WEEK,IS_WEEKEND,ORIGIN_CITY_STATE_WOE,DEST_CITY_STATE_WOE,DEST_CITY_CITY_WOE,AIRLINE_WOE,ORIGIN_CITY_CITY_WOE
2706,-5.0,18.0,4.0,60.0,0,995,-0.9320078692827984,-0.3624380382837018,1055,-0.9940563382223195,-0.10886687485196507,1041.0,5,1,0.1251613087579892,-0.021386604476556544,-0.08825384693193111,0.12302922736490786,0.10528923460598792
1152,14.0,15.0,7.0,119.0,0,1230,-0.7933533402912352,0.6087614290087205,1289,-0.6122172800344493,0.7906895737438433,1281.0,3,0,-0.5395610811450179,-0.0757038257481345,-0.030842939718592116,-0.20280170947700016,-0.5008465689643276
1949,-2.0,14.0,8.0,207.0,0,35,0.1521233861899167,0.9883615104677607,362,0.9999619230641713,-0.008726535498373775,353.0,5,1,0.012385794832227947,0.18726281756566054,0.20288272092615472,-0.012039812755495889,0.09877455358479412
5177,-9.0,13.0,3.0,126.0,0,645,0.32143946530316175,-0.9469301294951056,771,-0.22069743502150088,-0.9753423205085128,748.0,1,0,0.1342690640234327,0.09132469425561546,0.12084164761347281,0.02555674874353248,0.38467250424307387
5213,-5.0,15.0,3.0,89.0,0,1085,-0.9997620270799091,0.021814885034561356,1174,-0.917060074385124,0.39874906892524625,1158.0,5,1,0.039010887482324307,0.09132469425561546,0.12084164761347281,0.02555674874353248,0.06713746864161167
786,3.0,11.0,48.0,230.0,1,810,-0.3826834323650892,-0.923879532511287,1160,-0.9396926207859085,0.34202014332566816,1192.0,1,0,0.28234689228040155,0.11056871433123651,0.23944739002131968,0.12302922736490786,0.31164736922818387
1451,-12.0,15.0,5.0,118.0,0,1379,-0.26303121445797534,0.9647873238288128,57,0.24615329302899303,0.9692309097067544,37.0,5,1,0.039010887482324307,0.6912917777146056,0.6912917777146056,-0.012039812755495889,0.09260125137252971
5047,-2.0,9.0,5.0,75.0,0,880,-0.6427876096865393,-0.766044443118978,955,-0.8549118706729466,-0.5187732581605214,945.0,5,1,0.07897192628861444,0.6912917777146056,0.6912917777146056,0.12302922736490786,0.07897192628861444
2496,-5.0,26.0,4.0,251.0,0,665,0.23768589232617293,-0.9713420698132614,796,-0.32556815445715676,-0.9455185755993167,788.0,2,0,0.1251613087579892,0.3149029336879501,0.22698616958350765,-0.012039812755495889,0.1410073172080673
4337,-5.0,38.0,4.0,72.0,0,839,-0.4962165036752078,-0.8681988144891425,911,-0.740218127486832,-0.672366807434668,917.0,6,1,-0.34929667083712684,0.09132469425561546,0.03814993176835938,-0.16618428758835427,-0.34929667083712684
758,-7.0,15.0,11.0,151.0,0,1046,-0.9890158633619168,-0.14780941112961046,1257,-0.7163019434246545,0.69779045984168,1242.0,5,1,0.28234689228040155,-0.021386604476556544,-0.08825384693193111,0.41544416290982744,0.31164736922818387
1589,9.0,14.0,6.0,140.0,0,375,0.9978589232386035,-0.06540312923014292,515,0.7798844830928818,-0.6259234721840591,516.0,2,0,0.1342690640234327,-0.08993185608859855,-0.08993185608859855,0.12302922736490786,0.16152895292886402
360,25.0,8.0,5.0,150.0,1,1010,-0.9537169507482267,-0.3007057995042738,1220,-0.8191520442889918,0.573576436351046,1239.0,4,0,0.21467290935015063,0.31694305680289425,0.6912917777146056,0.12302922736490786,0.21572088580371615
5379,-5.0,12.0,8.0,72.0,0,1000,-0.9396926207859082,-0.3420201433256694,1072,-0.9993908270190957,-0.03489949670250165,1062.0,0,0,-0.16089606796678985,0.11056871433123651,0.05253866922045917,-0.7302206700291735,-0.3205230148330461
3879,-4.0,13.0,10.0,132.0,0,435,0.9469301294951057,-0.3214394653031616,567,0.6190939493098342,-0.7853169308807447,564.0,5,1,0.21467290935015063,-0.021386604476556544,-0.027853400870226166,-0.03084293971859223,0.8854477921555629
2665,2.0,17.0,4.0,250.0,0,385,0.9940563382223196,-0.10886687485196461,755,-0.15212338618991642,-0.9883615104677608,765.0,5,1,-0.16695165335741508,0.18726281756566054,0.20288272092615472,0.12302922736490786,0.01461943435816533
531,93.0,12.0,4.0,225.0,1,515,0.7798844830928818,-0.6259234721840591,620,0.4226182617406995,-0.9063077870366499,681.0,4,0,0.21467290935015063,-0.02691366157870257,-0.1042704082734093,0.12302922736490786,0.21572088580371615
4149,-5.0,12.0,3.0,117.0,0,990,-0.9238795325112868,-0.3826834323650895,1107,-0.9930684569549263,0.11753739745783724,1091.0,1,0,0.1251613087579892,0.08195255442675234,0.3675047006207083,-0.03084293971859223,0.10528923460598792
2957,0.0,24.0,5.0,71.0,0,874,-0.6225146366376194,-0.782608156852414,945,-0.8314696123025448,-0.555570233019603,943.0,2,0,-0.16695165335741508,-0.0757038257481345,-0.8637520626536962,-0.2703846368424381,-0.2615255682059677
3948,-10.0,9.0,4.0,58.0,0,915,-0.7518398074789773,-0.6593458151000691,973,-0.8929789434111368,-0.4500984410374354,956.0,5,1,-0.27446502237634257,0.03814993176835938,1.2909129002637274,-0.2703846368424381,-0.18990763434827948
2007,-3.0,10.0,11.0,158.0,0,1207,-0.8503522249955628,0.5262139236518695,1365,-0.32143946530316186,0.9469301294951056,1366.0,1,0,0.033695581418978944,0.31694305680289425,0.338152488608181,0.20487939380247772,0.21335402079345017
2733,9.0,19.0,19.0,204.0,0,1350,-0.38268343236508956,0.9238795325112868,1434,-0.026176948307873545,0.9996573249755573,5.0,3,0,0.1251613087579892,-0.0757038257481345,-0.07658896150679595,-0.012039812755495889,0.1410073172080673
3071,-10.0,15.0,22.0,180.0,0,1034,-0.9799247046208296,-0.1993679344171973,1154,-0.9483236552061993,0.31730465640509226,1130.0,3,0,0.3999399763738621,0.18726281756566054,0.20288272092615472,-0.2703846368424381,0.4391606895271435
1127,25.0,17.0,8.0,266.0,1,930,-0.7933533402912349,-0.6087614290087209,1076,-0.9998476951563913,-0.017452406437283498,1093.0,3,0,0.1342690640234327,-0.04426596005073269,-0.057354065266924104,0.11176174911160532,0.26640858374933957
858,50.0,12.0,7.0,160.0,1,1130,-0.9762960071199335,0.21643961393810246,1410,-0.13052619222005168,0.9914448613738104,22.0,1,0,0.28234689228040155,-0.35976797070442196,-0.4504926828187129,0.12302922736490786,0.31164736922818387
4509,-1.0,9.0,5.0,160.0,0,300,0.9659258262890683,0.25881904510252074,460,0.90630778703665,-0.42261826174069933,449.0,5,1,-0.7941943789517859,-0.02691366157870257,-0.1042704082734093,0.12302922736490786,-0.7567799431015282
1054,14.0,17.0,6.0,198.0,0,1280,-0.6427876096865396,0.7660444431189778,38,0.16504760586067763,0.9862856015372314,45.0,0,0,0.1342690640234327,-0.1625207636937918,-0.13620345537641848,-0.012039812755495889,0.09320970895138686
4043,-4.0,15.0,6.0,130.0,0,625,0.4027466898587373,-0.9153114791194471,815,-0.4027466898587371,-0.9153114791194472,807.0,6,1,0.1251613087579892,0.5489755555343501,0.07451757593923407,-0.03084293971859223,0.1410073172080673
5834,-7.0,14.0,2.0,158.0,0,758,-0.16504760586067743,-0.9862856015372314,1036,-0.9816271834476639,-0.19080899537654547,1011.0,2,0,0.012385794832227947,1.0395984719828213,1.0189791847800855,0.31008364725200116,0.09877455358479412
2915,-25.0,9.0,4.0,145.0,0,743,-0.10018806161207613,-0.9949685182509117,888,-0.6691306063588582,-0.7431448254773942,855.0,5,1,0.17909037985881124,0.31694305680289425,0.7676647564991794,0.7737438025755615,1.5785949727155082
1221,-4.0,17.0,5.0,97.0,0,1245,-0.7518398074789778,0.6593458151000684,1342,-0.4146932426562401,0.9099612708765428,1325.0,3,0,-0.16089606796678985,0.09132469425561546,0.12084164761347281,-0.20280170947700016,-0.3205230148330461
697,-8.0,31.0,7.0,365.0,0,1315,-0.5187732581605222,0.8549118706729462,420,0.9659258262890683,-0.25881904510252085,419.0,5,1,-0.2651242354432577,-0.02691366157870257,-0.1042704082734093,-0.012039812755495889,-0.07963310388802423
3875,53.0,37.0,26.0,84.0,1,1155,-0.9469301294951057,0.3214394653031615,1179,-0.9081431738250815,0.4186597375374277,1256.0,2,0,-0.16089606796678985,0.18726281756566054,0.20288272092615472,-0.03084293971859223,1.1731298646073438
1289,4.0,11.0,5.0,126.0,0,799,-0.33791671800332673,-0.9411760152563707,925,-0.7798844830928819,-0.625923472184059,907.0,3,0,0.017684101176068362,-0.1905530501259997,-0.20435386683039175,-0.20280170947700016,0.18400180878092257
5398,-6.0,12.0,2.0,109.0,0,744,-0.10452846326765305,-0.9945218953682734,853,-0.5482932295199135,-0.8362861558477597,837.0,2,0,0.039010887482324307,-0.4778570507396289,-0.6186296046207113,0.02555674874353248,0.09260125137252971
1275,-13.0,8.0,3.0,223.0,0,1435,-0.0218148850345609,0.9997620270799091,398,0.9862856015372314,-0.1650476058606777,380.0,0,0,0.11393154448011089,-0.1905530501259997,-0.20435386683039175,-0.20280170947700016,0.20949301213599042
1605,7.0,19.0,7.0,91.0,0,728,-0.0348994967025009,-0.9993908270190958,759,-0.16934950384902456,-0.9855560590580777,771.0,0,0,-0.5395610811450179,-0.02691366157870257,-0.1042704082734093,0.7737438025755615,0.4799826840473985
2602,-5.0,7.0,4.0,115.0,0,685,0.15212338618991708,-0.9883615104677607,860,-0.5735764363510458,-0.819152044288992,845.0,1,0,-0.030842939718592116,-0.08571954994442633,-0.08571954994442633,0.12302922736490786,-0.09056217442021428
221,3.0,14.0,16.0,252.0,0,787,-0.2881962681340892,-0.9575713608048144,1159,-0.9411760152563707,0.3379167180033267,1146.0,1,0,-0.16695165335741508,0.18726281756566054,0.20288272092615472,-0.012039812755495889,-0.2615255682059677
2551,-6.0,15.0,16.0,83.0,0,368,0.9993908270190958,-0.03489949670250073,451,0.9222009716704518,-0.3867109616368207,438.0,5,1,0.1251613087579892,-0.021386604476556544,-0.027853400870226166,-0.012039812755495889,0.1426290017983799
780,4.0,25.0,6.0,350.0,0,425,0.9600498543859287,-0.2798290140309919,955,-0.8549118706729466,-0.5187732581605214,947.0,4,0,-0.16695165335741508,-0.1625207636937918,-0.13620345537641848,0.020450354668958406,-0.2615255682059677
364,-1.0,11.0,13.0,147.0,0,746,-0.11320321376790664,-0.9935718556765875,893,-0.6851829903263588,-0.7283709698824006,879.0,1,0,-0.34929667083712684,0.31694305680289425,0.6912917777146056,-0.012039812755495889,-0.34929667083712684
4994,-8.0,40.0,4.0,104.0,0,1360,-0.3420201433256686,0.9396926207859084,24,0.10452846326765346,0.9945218953682733,36.0,1,0,0.039010887482324307,-0.4778570507396289,-0.35131483499336386,-0.16618428758835427,0.09260125137252971
772,16.0,32.0,3.0,312.0,1,1260,-0.7071067811865477,0.7071067811865474,12,0.05233595624294383,0.9986295347545738,29.0,1,0,0.1342690640234327,-0.02691366157870257,-0.1042704082734093,-0.012039812755495889,0.09320970895138686
3266,-5.0,8.0,5.0,100.0,0,382,0.9953961983671789,-0.09584575252022395,542,0.700909264299851,-0.7132504491541815,527.0,3,0,-0.16695165335741508,-0.02691366157870257,-0.1042704082734093,-0.2703846368424381,0.47998268404739863
516,50.0,8.0,3.0,60.0,1,995,-0.9320078692827984,-0.3624380382837018,995,-0.9320078692827984,-0.3624380382837018,1032.0,6,1,-0.16089606796678985,0.18726281756566054,0.20288272092615472,0.12302922736490786,-0.5008465689643277
2322,58.0,14.0,6.0,132.0,1,780,-0.25881904510252035,-0.9659258262890684,912,-0.743144825477394,-0.6691306063588585,958.0,5,1,0.1342690640234327,0.09132469425561546,0.12084164761347281,0.41544416290982744,0.38467250424307387
3187,-1.0,8.0,4.0,130.0,0,485,0.8549118706729467,-0.5187732581605212,675,0.19509032201612816,-0.9807852804032304,668.0,2,0,-0.030842939718592116,0.31694305680289425,0.6912917777146056,0.12302922736490786,-0.09056217442021428
2446,-3.0,13.0,5.0,126.0,0,887,-0.6658816660008345,-0.7460573750616993,1073,-0.9995335908367129,-0.030538513209822718,1049.0,1,0,-0.3830635333079441,-0.1905530501259997,-0.20435386683039175,-0.20280170947700016,-0.09538146085616321
3724,7.0,10.0,9.0,133.0,0,781,-0.26303121445797495,-0.9647873238288129,914,-0.7489557207890022,-0.6626200482157375,916.0,6,1,0.37462216838957235,-0.35976797070442196,-0.4504926828187129,-0.2703846368424381,0.37462216838957235
1401,-2.0,15.0,4.0,113.0,0,447,0.9288095528719242,-0.3705574375098361,560,0.6427876096865395,-0.7660444431189779,540.0,4,0,-0.16089606796678985,-0.03373729774495672,-0.1695932482189065,-0.20280170947700016,-0.3205230148330461
